Restaurant,Review,Rating,Edited_Review,language,Split_Review,food_score,food_stars,ambiance_score,ambiance_stars,service_score,service_stars,cleanliness_score,cleanliness_stars,price_score,price_stars,general_score,general_stars
Beyond Flavours,"The ambience was good, food was quite good . had Saturday lunch , which was cost effective .
Good place for a sate brunch. One can also chill with friends and or parents.
Waiter Soumen Das was really courteous and helpful.",5.0,"The ambience was good, food was quite good . had Saturday lunch , which was cost effective . Good place for a sate brunch. One can also chill with friends and or parents. Waiter Soumen Das was really courteous and helpful.",en,The ambience was good. Food was quite good. Had Saturday lunch. Lunch was cost effective. Good place for a sate brunch. One can also chill with friends. One can also chill with parents. Waiter Soumen Das was really courteous. Waiter Soumen Das was helpful. ,0.46255,4,0.46706000000000003,4,0.4848333333333333,4,0.0,0,0.4767,4,0.47278583333333335,4
Beyond Flavours,Ambience is too good for a pleasant evening. Service is very prompt. Food is good. Over all a good experience. Soumen Das - kudos to the service,5.0,Ambience is too good for a pleasant evening. Service is very prompt. Food is good. Over all a good experience. Soumen Das - kudos to the service,en,"Ambiance is too good. Ambiance is good for a pleasant evening. Service is very prompt. Food is good. Over all, a good experience. Soumen Das - kudos to the service. ",0.5140750000000001,4,0.531625,4,0.62285,5,0.0,0,0.0,0,0.5561833333333334,4
Beyond Flavours,A must try.. great food great ambience. Thnx for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta:) ....... Also the music in the background is amazing.,5.0,A must try.. great food great ambience. Thnx for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta:) . Also the music in the background is amazing.,en,A must try. Great food. Great ambience. Thanks for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta. Also the music in the background is amazing. ,0.5326500000000001,4,0.6119,5,0.569025,4,0.0,0,0.0,0,0.5711916666666667,4
Beyond Flavours,"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.",5.0,"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.",en,Soumen das and Arun was a great guy. Only because of their behavior and sincerity. And good food off course. I would like to visit this place again. ,0.47550000000000003,4,0.49305,4,0.5326500000000001,4,0.0,0,0.0,0,0.5004000000000001,4
Beyond Flavours,Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,5.0,Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,en,Food is good. We ordered Kodi drumsticks. We ordered basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good. ,0.453475,4,0.50165,4,0.40806666666666674,4,0.0,0,0.0,0,0.4543972222222223,4
Beyond Flavours,"Ambiance is good, service is good, food is aPradeecp and subro best service
Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",5.0,"Ambiance is good, service is good, food is aPradeecp and subro best service Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",en,Ambiance is good. Service is good. Food is aPradeecp. Food is good. Papiya is a good hostess. Your caption is very good. This is a 4-star restaurant. ,0.45086000000000004,4,0.46655,4,0.4404,4,0.0,0,0.0,0,0.4526033333333334,4
Beyond Flavours,"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",5.0,"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",en,It's a very nice place. Ambience is different. All the food we ordered was very tasty. Service is also good. It's worth a visit. It's reasonable as well. Really a must-visit place. ,0.4579,4,0.35085,4,0.4579,4,0.0,0,0.24975,4,0.3791,4
Beyond Flavours,Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,4.0,Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,en,"Well, after reading so many reviews... Finally, visited this place. The ambience was so good. Coming to food, crispy corn is nice. Tawa fish was ok. Basket Biryani disappointed us. Biryani was ok but not flattering as they claimed. Staff was polite and prompt. Especially Pradeep and Suman. ",0.07744999999999999,3,0.21273333333333333,4,-0.0893,3,0.0,0,0.0,0,0.0669611111111111,3
Beyond Flavours,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",5.0,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",en,"Excellent food. Specially if you like spicy food. Courteous staff. Shubro, pradeep, and papiya gave excellent service to our corporate team dinner. Overall great for team dinners and party. ",0.570825,4,0.56975,4,0.5587799999999999,4,0.0,0,0.56975,4,0.5672762499999999,4
Beyond Flavours,"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.",5.0,"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.",en,Came for the birthday treat. Treat of a close friend. Perfect place for a treat. Very hospitable staff. Cooperative staff. Food was delicious. Ambience was good. Music was good. Lighting was good. Chili honey lotus stem is a must try. Special mention to Papiya. Papiya took good care of us. ,0.5426666666666667,4,0.51795,4,0.5981799999999999,4,0.0,0,0.0,0,0.5529322222222223,4
Beyond Flavours,The service was great and the food was awesome. The service staff Manab and Papiya were very courteous and attentive. I would like to come frequently to this place,5.0,The service was great and the food was awesome. The service staff Manab and Papiya were very courteous and attentive. I would like to come frequently to this place,en,The service was great. The food was awesome. The service staff Manab and Papiya were very courteous. The service staff Manab and Papiya were very attentive. I would like to come frequently to this place. ,0.5141333333333333,4,0.541825,4,0.5141333333333333,4,0.0,0,0.0,0,0.5233638888888889,4
Beyond Flavours,"Very good ambience, amazing food ,good service and friendly staff - Pradeep, Papiya and Shuvro :) will definitely visit again! And loved the design of their menu card.",5.0,"Very good ambience, amazing food ,good service and friendly staff - Pradeep, Papiya and Shuvro :) will definitely visit again! And loved the design of their menu card.",en,"Very good ambience. Amazing food. Good service. Friendly staff: Pradeep, Papiya, and Shuvro smiley_positive Definitely will visit again! Loved the design of their menu card. ",0.57058,4,0.603125,5,0.59005,4,0.0,0,0.0,0,0.5879183333333333,4
Beyond Flavours,Food was very good. Soup was as expected. In starters we ordered honey chilli lotus stem and that is a must try for vegan ppl. Service was great. Frequent visits from Papiya to know our experience and also about the food was really impressive.,5.0,Food was very good. Soup was as expected. In starters we ordered honey chilli lotus stem and that is a must try for vegan ppl. Service was great. Frequent visits from Papiya to know our experience and also about the food was really impressive.,en,Food was very good. Soup was as expected. In starters we ordered honey chilli lotus stem. Honey chilli lotus stem is a must try for vegan ppl. Service was great. Frequent visits from Papiya to know our experience. Frequent visits from Papiya to know about the food. Frequent visits from Papiya was really impressive. ,0.5245,4,0.6249,5,0.5906,4,0.0,0,0.0,0,0.58,4
Beyond Flavours,Food is too good. Telangana kodiak fry is must try.Mutton biriyani is too good.Papiya helped to choose best dishes and attended very well.Must visit.,5.0,Food is too good. Telangana kodiak fry is must try.Mutton biriyani is too good.Papiya helped to choose best dishes and attended very well.Must visit.,en,Food is too good. Telangana kodiak fry is a must-try. Mutton biriyani is too good. Papiya helped to choose the best dishes. Papiya attended very well. Must visit. ,0.464025,4,0.0,0,0.48765000000000003,4,0.6369,5,0.0,0,0.529525,4
Beyond Flavours,"We ordered corn cheese balls, manchow soup and paneer shashlik sizzler. The sizzler was stale. Paneer was smelling and the waiter was so impolite to even accept the mistake. Never going again",1.0,"We ordered corn cheese balls, manchow soup and paneer shashlik sizzler. The sizzler was stale. Paneer was smelling and the waiter was so impolite to even accept the mistake. Never going again",en,We ordered: - Corn cheese balls - Manchow soup - Paneer shashlik sizzler The sizzler was stale. The paneer was smelling. The waiter was impolite. He did not accept the mistake. Never going again. ,0.0,0,0.0,0,-0.21,2,0.0,0,0.0,0,-0.21,2
