Word,Frequency,Updated_Frequency_w2v,Similar_Words_w2v
good,6931,7247,"wise, enjoyed, impressed, impressive, liked, alot"
food,6667,6667,None
place,6079,6632,"weekday, casual, prebooking, pub, peaceful, evening, terrace, relax, gang, happing, sky, nucleya, sunset, playlist, shack, tiki"
order,3474,3964,"arrive, parcel, burnt, send, via, waa, sent, jumbo, faasos, square, waited, wrong, singaporean, lollipop"
service,3304,3478,"improvise, bringing, handling, behavior, maintained, serving, sevice, responsive, tushar, servicing, descent, suvendu, akash, dancefloor, steward, raza"
chicken,3103,5526,"drum, chiken, stick, boneless, pao, sizzle, bamboo, babycorn, drumstick, smoky, patty, lamb, popcorn, served, cooked, bbq, royyala, breast, nugget, undercooked, toss, lasooni, roast, dragon, leg, pomfret, kung, kabab, flavourful, macaroni, grilled, prawns, murg, dum, succulent, chichen, shoot, marinate, teriyaki, murrel, lasagne, tangidi, bangla, kodi, vepudu, rosemary, ghost, coat, golden, masalas, nawabi, mamsam, pandumirchi, buffalo, stew, tawa, flavorful, dumpling, kalmi, kheema, murgh, rogan, mince, spring, mash, moroccan, peri, batter, char, looked, chunky, godavari, mirchi, pahadi, dice, marag, bone, marinating, manchuria, devil, boil, lollypop, bhuna, chickn, handi, cashew, lazeez"
taste,2971,3503,"muda, preparation, consistency, test, bheemavaram, oily, except, thick, gongura, pachi, pulav, ragi, manchuri, salan, broth"
ambience,2128,2249,"atmosphere, setup, deck, ambeince"
one,2040,2108,easily
time,2021,2026,gap
great,1978,2251,"fantastic, fabulous, exceptional, ripan, shakeel, loved, wow, continuous"
try,1942,1955,"admit, paani, chettinadu"
go,1873,2094,"hop, invited, out, reunion, post, schedule, afternoon, dissapointed, thursday"
like,1740,1782,"dint, coocked"
visit,1728,1770,"overallrating, pachimirchi, epic, recommendable, buddy, sucker"
really,1674,1732,govind
also,1599,1657,sufficient
serve,1507,1602,"refill, finger, dhal, jal"
well,1507,1554,nicely
restaurant,1449,1933,"neatness, branch, gvk, glad, title, urban, asia, hyatt, khaan, pavilion, saab, facility, common, china, diner, chaos, maintenance, mismatch, kritunga, banjara, justice"
best,1448,1547,"unique, jewel, favourites"
nice,1443,1682,"gochibowli, verry, chilling, sober, mainly, lightly, maincource, servise, cozy, awsm, warm"
staff,1420,1640,"patient, karthik, ware, crew, vallet, courtious, efficient, understanding, waitress, gentleman, yamuna, professional, attend, requirement, ravi, nature, surender"
biryani,1403,1889,"ulavacharu, musalam, motton, kaju, piecec, ate, palav, raju, briyani, gari, manchuryia, fahm, comparing, afghani, josh, biryans, pulavs, tuglaq, lucknowi, avakai, kunda, suprise, shah, ghouse, kotha, natukodi, paradise, ugly, shortage, tasting, avg, bagara, behrouz, avakaya"
get,1378,2023,"beforehand, realise, generate, inspite, occupy, hr, spell, quickly, booking, due, advise, despite, operate, mostly, queue, inform, cancel, reserve, beware, struggle, sometimes, switch, saw, pass, empty"
veg,1247,1447,"drinker, dancer, alcoholic, vegeterians, braise, edition, spl, shank, mezze, flavorsome, standout, appetiser, subz, nonveg, manchurian"
experience,1247,1247,None
love,1244,1401,"blow, crave, fav, doner"
bad,1162,2651,"worst, terrible, spoil, stale, awful, tasteless, rotten, dump, foul, insect, consumer, throw, stink, uncooked, loosing, cockroach, bug, disgust, either, thee, thrown, dustbin, drip, irresponsible, ruin, hair, informed, recieved, contaminate, suppose, degrade, disappointing, unwell, life, fake, shock, hate, leftover, edible, desirable, earlier, acceptable, fail, shameful, didnt, spoiled, hopeless, coloured, dissatisfy, filthy, mess, cloth, replace, munchuria, shitty, lucknow, upset, didnot, left, bother, semi, turmeric, disaster, found, beggar, rudely, soggy"
make,1106,1108,mutabak
starter,1088,1631,"maki, cripsy, appetizer, stater, apollo, mashroom, pakoda, few, stem, lotus, sheek, drumsticks, seekh, sushi, baby, chestnut, reminder, appollo, barbeque, carte, mock, tempura, manchow, demarcation"
would,1074,1273,"personally, others, strongly, certainly"
come,1065,1065,None
even,1035,1596,"asked, functional, refuse, mosquito, hardly, short, napkin, hurry, cant, mistake, manger, atleast, token, dounut, pantry, complain, overcrowd, tip, tissue, reservation, occupancy, chatter, ac, dirty"
dish,1026,1341,"beef, andhra, curated, signature, sikandari, sukha, speciality, rib, wok, raan, condiment, delicacy, vikrant"
give,955,1127,"zero, coz, deserve, deduct, couldnt, unbearable, negative"
must,953,956,grate
quality,867,1124,"hygienic, reduce, packing, health, availble, unbelievable, pricing, satisfactory, increase"
price,853,1129,"costly, effective, overpriced, pricy, buck, pricey, justify, moderate, recomended, rs, inclusive, prize"
awesome,845,1051,"awsome, testy, lite, roshan, nitish, papiya, mouthwatering, biswajit, pankaj, guidance, ranch, gud, shivam, niranjan, sabir"
take,803,897,"affection, pavan, later, mannerless, complained, assure"
rice,786,1767,"schezuan, steam, jeera, steamed, plain, schezwan, curd, phad, wet, hakka, basmati, stir, mixed, udon, naga, singapore, pad, saalan, brinjal, bap, subzi, bibimbap, maggie, ramyun, sambar, khow, potpourri, xacuti, bhindi, colored, raita, kalkuksu, sweeter, szechuan, shallow, millet, garnish, ghee, ghosht, grass, gobi, omlet, coke, roties, oyster, excess, chopsuey, chapati, soba, jjigae, goreng, phak, nasi, texture"
overall,770,770,None
friend,755,815,"frnds, masti, nri, thoroughly, ambienece, hearty"
drink,733,1265,"alcohol, grape, wine, cocktails, julep, cranberry, zen, whiskey, mocktail, virgin, margarita, lemonade, shots, mojito, liit, sangria, juice, exchange, budweiser, included, thirst, draught, pint, latin, peach, kingfisher"
item,731,844,"limit, limited"
recommend,718,775,"recommended, revisit"
menu,715,1039,"cart, elaborate, interest, vast, offering, extensive, range, selection, unavailable, wide"
paneer,714,2109,"bhara, hara, panner, bhutte, kulcha, savera, rotis, shaam, lababdar, daal, kadai, bhurji, achaari, sabzi, kofta, papad, kadhai, kulchas, makhni, malai, warki, lehsooni, achari, parantha, papdi, gobhi, chana, chkn, laccha, sabji, fulka, paav, romali, dahi, palak, puris, lacha, pasanda, judwa, tikki, mirch, kashmiri, chola, ke, kathi, aur, stuffed, miloni, choley, galouti, methi, panneer, parathas, hari, alu, dosa, chur, matar, rara, amritsari, rajma, bhami, wakto, dollop, mast, accompaniment, tofu, lachha, galaouti, tadka, kali, poori, lachcha, nargisi, chilla, puri"
tasty,708,711,kasmiri
buffet,687,1094,"ala, brunch, lavish, alacarte, unconventional, unlimited, desserts, layout, opt, la, teammate, carve, radisson"
quantity,686,693,"suffice, quanity"
much,671,712,ordinary
say,669,669,None
amaze,659,747,"highlight, outstanding, cor, delightful"
delicious,646,1053,"yumm, lip, delight, delectable, smack, basket, presentation, favrte, enhance, combination"
ambiance,641,869,"dining, vibe, decor, environment"
fry,616,1429,"dimsums, french, bean, lollipops, bangkok, sesame, noodles, kimchi, scallion, delish, pices, chip, assorted, lasagna, ramyum, whatsoever, teppan, shrimp, chili, honey, maggi, panko, flake, pan, steak, ed, alongside, bosam, momo, yakitori, burmese, deep, balsamic, sear, stroganoff, strip, chowmein, soya, fillet, wedge"
main,605,680,"kismiss, golf, restarent, spicey, attire, untouched, feat, evident, admin, arun, squid, fire, can"
spicy,596,1148,"crispness, spiciness, curdy, mildly, pin, tangy, version, marination, soupy, thicker, salt, aroma, toothsome, chewy, distinct, tear, mayonnaise, bhimavaram, crisp, kura, vinegar, sour, tandoor, laila, mayo, masam, pouri, critical"
lunch,584,1143,"st, al, tonight, collegues, corporate, yesterday, mother, venue, humongous, eve, crowdy, wife, week, bird, journey, april, parent, skip, feb, alakarte, enjoyable, thalis, bombard, chosen, customised, jonathan, recently, corporates, parallel"
course,572,637,"coarse, asset, peshawari, khao, moto, attraction, restraunts, subsidiary, discovery, competitor, bhuvnesh, conveyer, souvlaki, incharge, rann, yang, tolichowki, clientele, static, eligible, rethink"
friendly,566,833,"cordial, trained, humble, cooperative, operative, freindly, untrained, secure, coperative, attentive, co, hospitable, expressed, courteousness, rigid, pinch, supportive, spoken, mannered, knowledgeable, gachiwoli, warmly, pranika, hole"
hyderabad,560,1771,"town, far, undoubtedly, famous, hill, hyd, hitech, hyderabadis, culture, trip, legendary, dawat, connoisseurs, tds, joint, expand, country, local, eleven, year, favorites, foodie, jubilee, popular, gachhibowli, madhapur, ramadan, dhabas, forum, hidden, gem, pubs, underrated, chain, ardent, forkandspoonstoryhyd, begumpet, haunt, pista, giveaway, trust, true, maas, deteriorate, award, fin, chowcha, telugu, dawaat, serf, imitation, litti, techie, claim, collage"
look,558,558,None
people,555,590,ppl
eat,551,944,"stomach, fit, healthy, dust, unable, garbage, conscious, besan, nutritional, able, wonder, donot, sick, threw, ache, source, mask, bin"
music,543,1901,"sound, band, bollywood, song, silent, background, ipl, zain, perform, loud, screen, cricket, drinks, outdoors, hollywood, performance, relaxed, system, converse, bartender, lit, smoker, video, projector, lively, watch, screening, sport, experince, lounge, football, fever, musician, bonanza, zone, electrify, stream, soothe, breeze, bright, gentle, roof, groove, track, banger, dimly, af, buzz, boring, seating, brewery, entertainment, yell, london, melodious, diz, fifa, lightning, bear, electric, crazy, artist, ans, mustang, creative, con, stadium, lighten, poolside, playing, lighting, ear"
pizza,535,1484,"alfredo, crust, thin, pink, feta, topping, jalape, nachos, popper, ravioli, penne, risotto, primavera, pizzas, appetising, puff, wood, spaghetti, chipotle, margherita, aglio, pastas, bruschetta, mozarella, olive, california, greek, cottage, farm, salsa, olio, salami, indianised, enchiladas, pesto, panini, arabiatta, spinach, mexican, cheesy, bake, caesar, load, nacho, sub, constant, jalapeno, kabiraji"
fish,534,805,"cilantro, phuket, lobster, crab, basa, chop, chapa, sholay, straters, bao, shu, tiger, marg, haryali, eatable, jamaican, broccoli, blacken, mai, walked, coating, lahsuni, bull, finely, nasheman, nalli"
table,525,1546,"chair, promptly, prior, arrange, sofa, clear, cleaning, occupied, stain, already, attention, front, move, closely, uncomfortable, exit, scorch, advance, task, manage, notice, profusely, frustrate, reluctantly, confirmation, leaking, enthusiastic, cab, sat, clothes, cross, difficult, washroom, menus, sun, fight, privilege, sweat, rather, thereafter, shout, visiting, walk, immediately, typically, entry, noticed, deaf, nearer, speaker, problem, question, escalate, story, mins, positive"
lot,521,521,None
little,520,1203,"tad, otherwise, slightly, lil, heavy, okayish, improvement, better, lack, fair, dull, consider, lower, dominate"
zomato,514,1162,"membership, benefit, app, accept, applicable, dineout, coupon, contact, incorrect, paytm, publish, unlock, shell, refund, credit, advantage, domino, eats, cult, discount, cheaply, unlocked, swiggy, mail, invisible, payment, uber, iftar, rat, avail, inspection, unresponsive, fault, bogo, tge, correct, pinacoladas, decline, scroll, network, accepts, cure, unethical, respond, kindly"
money,513,553,"sentiment, penny, approx, spending, sake, practice"
worth,510,659,"worthy, wastage, genuinely, earn, affordable, economical, nominal, loot, ovenstory, unpalatable"
cake,502,2021,"cooky, cupcake, ganache, velvet, lava, kg, tiramisu, eggless, choco, frost, whatsapp, cheesecake, labonel, walnut, ugh, cupcakes, blueberry, browine, phirni, forest, butterscotch, custard, death, muffin, mocha, mousse, doughnut, osmania, cup, craze, tart, fudge, barfi, biscuit, sugary, icecream, foodgasm, raspberry, pudding, rocher, toffee, biscuits, fondant, buy, cookie, walnuts, chocolava, slush, vanilla, kit, director, au, bagel, ferrero, gelato, berry, ought, caramel, danish, fondue, chocolates, nutella, hazelnut, wonka, detox, kitkat, croissant, chocochip, marble, kulfi, willy, chocolatey, sweettooth, truffle, stunner, overload, sadness, espresso, rainbow, donuts, avalanche, tempteys, overdose, spongy, permanent, chocolaty, indulge, creme, decadent, palm, onsite, swiss, exotica"
variety,498,709,"varities, variation, variant, various, sushis, subhendu, continental, salads, european, usa, kulfis, array, sweets"
decent,494,517,"okish, decently"
definitely,492,587,"surely, speechless"
want,490,1034,"whenever, someone, plan, free, hell, anybody, future, chance, risk, regret, hungry, intention, pls, unfortunate, business"
never,490,1008,"kfc, everytime, horribly, return, cheat, frequent, imagine, sorry, lose, unhygienic, realize, wasting, utterly, nom, repeat, whether, starve, secondly, living, seriously, fact, anywhere, nightmare"
cream,485,741,"serv, island, solid, jamuns, chocovala, paan, crushed, nitrogen, rasgulla, jamun, homemade, liquid, gulab, milkshake"
thing,485,502,impression
could,484,484,None
less,480,674,"per, normal, kothimeera, ourself"
first,480,676,"recent, rd, month, puzzle, th, gvkone"
option,480,497,"fr, jain, revolve, golgappe"
ask,480,1605,"reply, enquire, bothered, upon, agree, irritate, explain, argue, apologised, constantly, speak, politely, apologize, concern, answer, abt, force, spoon, clue, specifically, minimum, courtesy, ready, none, blatantly, thrice, understand, literally, duration, deny, beg, apparently, raise, ignore, message, broken, argument, aware, act, apology, matter, worry, cite, desk, whatever, chaas, dreadful, stand, bottle, brought"
though,468,552,rest
dinner,468,772,"jonathon, session, brother, marriage, romantic, son, celebrate, lazy, sum, firstly, holi, shubro, anniversary, occasion"
quite,464,559,"minimalistic, ample, quiet, divide"
enjoy,463,560,"game, weekdays, yadav, praveen, yu, togethers, fri"
soup,457,733,"jade, minestrone, gai, tom, wanton, lemony, gung, paya, kha, wonton, shorba, talumein, coriander, yakhni, ghai, chow, corriander, chopsey, choupsey, eight, satay, coconut, dimsum"
ice,455,566,"stone, goey, whip, amul, jalebi, laughter, pastrie, disposable, cuddle, bready"
excellent,451,1053,"bahadur, jayanta, anil, tremendous, anup, sakeel, surjeet, suraj, sahil, unparalled, ambince, bs, raj, tapan, gobind, appreciate, ranjit, rahmat, keshav, bro, rightfully, ritam, agen, krishna, kudos, nandan, ratul, sk, rahamat, ab, ashish, mantu, assist, pritam, srinivas, sai, srikanth, abhishek, verity, diffenitly, akhil, indi, saleem, kumar, plentiful, alauddin, naveen, dharma, das, pappu, soumen, sunny, narender, abhay, mon, deepak, bestestest, sarveshwar, timely"
dessert,450,783,"gulabjamun, rabdi, halwa, kheer, gajar, kaddu, rabadi, firni, matka, jilebi, complimentary, meetha, kurbani, tukda, angarey, grey, rasmalai, gil, junnu, joke, alaska, pasteries, qubani, gulabjamoon, icecreams, sweeth, firdaus, macarons, kher, jamoon, cereal"
bit,450,455,manageable
day,449,760,"ensemble, aatish, sunlight, bday, valentine, continue, decided, ago, squeeze, memorable, consecutive, event, daughter, vomit, monday, husband, national, birth, disturb, tastebud, struggled, pleasure, celebration, balia, spouse"
customer,441,1483,"attitude, unprofessional, owner, face, employee, respect, response, disinterested, towards, ill, responsibility, train, sense, phone, nithin, manner, frankly, support, costumer, handle, behaviour, swipe, feedback, behave, groom, communication, educate, apologise, query, dissappointed, reddy, folk, impatient, doesnt, regard, slip, hygiene, arrogant, professionalism, bullshit, mobile, cleanliness, irony, billing, timing, professionally, convey, responsible, abhiveer, detail, parmeshwar, reluctant, website, bananaleaf, integrity, needs, plz"
non,440,498,"khaya, prepares, pure, strters, vegeterian, munchurian, luncheon"
special,440,470,"sudhir, shanghai, sikendari, chepa, lust"
need,439,467,"scope, improved, segregation"
curry,439,612,"rajiala, chettinad, korma, peas, patta, cutlet, western, nizami, sabudhana, appetizing, kolhapuri, ki, vada, chatpata, palette, marinated, jasmine"
delivery,436,966,"delightfully, boy, package, zomoto, doorstep, spill, delivered, seal, foil, tamper, hundi, spillage, user, packet, delay, method, aluminium, straw, container, qty, executive, jupiter, spilled, bee, zara, status, hunger, pepsi, speedy, edit, register, neatly, cary, colony, nd, careful, delivary, guality, agent, fasoos, warest"
sauce,427,1142,"white, parmesan, shred, texas, pattaya, jerk, tasted, dip, mustard, creamy, lettuce, bell, original, basil, black, farmer, seasoning, sticky, soy, mashed, cabbage, ring, amazon, crunchy, brown, konaseema, glaze, saut, zucchini, exotic, carbonara, powder, dress, herb, drizzle"
burger,425,836,"zinger, galaxy, bakes, cosmic, hotdog, bun, krunchy, milkyway, charcoal, mex, comet, milky, mcdonalds, dunkin, hash, lucy, mercury, wrapper, wild, lychee, ks, buns, venus, maska, bang, shawarama, tex, quiche, baker, anda, karachi, muffins, dog, shawarmas, substantial, layer"
find,425,649,"takeout, surprising, guess, default, nowadays, difference, nearby, deli, complex, fly, perhaps"
cheese,421,873,"toast, ball, slice, filling, jalepeno, mozzarella, brocolli, arrabiata, omelette, pakode, pita, fold, freshly, parotta, latte, omlette, moongdaal, saute, flour, calzone, samosa, generous, pineapple, taco, kernel, fluffy, oregano, cheddar"
night,420,606,"wednesday, iqbal, karaoke, lady, saturdays, breezer, scene, wee, freeze, girl, crowded, heyy, rainy"
ever,419,529,"eaten, bye, omg, shittiest, disastrous, restuarent, iam, gazar, god, uneatable, biiyani, distasteful, opinion"
perfect,417,613,"sumptuous, apt, ideal, rich, blend, subtle"
average,414,661,"overprice, mediocre, disappointment, standard, extraordinary"
gachibowli,407,1493,"dlf, situate, terminal, nagar, indira, prime, sln, opposite, terminus, mall, building, indra, hostel, circle, financial, court, easy, district, bistro, spot, deloitte, cosy, road, access, indiranagar, centrally, highway, kondapur, manikonda, flyover, amidst, beside, boulder, tree, conveniently, renowned, hyderbad, wipro, snl, meenakshi, lane, prominently, junction, ikea, khajaguda, street, cluster, hub, travel, opp, accessible, central, prominent, amid, platina, sufficiently, bio, ride, drive, synonymous, ramky, nizampet, biodiversity, jubliee, orr, waverock, arena, arabic, tech, kiosk"
ok,398,412,ish
chocolate,394,979,"choclate, oreo, kat, sugar, almond, banana, waffle, nutty, merry, boston, cherry, milk, apple, pancake, baklava, tropical, laddu, syrup, pie, smoothie, bombay, toblerone, litchi, jaggery"
sweet,391,1367,"sweetness, overly, ginger, pinacolada, tooth, palate, orange, punch, balance, tinge, colada, pina, intense, dense, blue, minty, pannacotta, chokka, nut, seed, mojitos, cucumber, refresh, strawberry, strong, incredibly, yoghurt, poppy, cinnamon, spicier, citrus, tamarind, content, colour, jenever, bud, carrot, tingle, citroen, soda, bitter, pinacolda, dough, hint, currant, blond, conventional, tango, kesar, cooler"
feel,391,406,"tin, homely"
tikka,384,623,"cylindo, majestic, tikkas, angara, tundey, hariyali, hong, reshmi, tangdi, kong, lahori, sabz, kebabs, musallam, kababs, jwalamukhi, butte, bhatti, adraki, afgani, rajwada, shikampuri, tangri, khandar, de"
butter,382,742,"di, patiala, baida, buttery, shikari, makhanwala, saag, stuffing, sarson, keema, gosht, makki, punjab, missi, pander, lassi, pudina, anyhow, moong, ajwain, zafrani, flaky, medicinal, kadi, shahi"
hot,379,390,"steamy, pip, almonds"
cook,379,739,"perfection, smelly, patrani, meaty, raw, marinade, skin, clove, rubbery, yuk, chew, herbs, cumin, paste, shami, chunk, salty, pungent, seasoned, fat, skewer, overcook, notion, balanced"
mutton,376,441,"raans, nihari, chepala, pathar, sikanderi, laham, gadwal, khaas, normally, nellore, galauti, musttry"
noodle,371,424,"haka, suey, stake, watery, raymun, gyoza, vietnamese, wasabi"
family,370,404,"girlfriend, scale, toofan, supper, proud, gathering, saba, subendhu"
indian,369,1027,"south, eastern, east, asian, typical, frontier, mughlai, oriental, enquired, delhi, italian, chhole, uttapam, indo, japanese, korean, kulche, telangana, vade, messy, tacos, dosas, festival, sardarji, poha, multi, chole, bhature, mediterranean, cusine, bhalle, gappe, kadhi, northern, chaats"
amazing,367,535,"cheer, pleasant, blazin, ultimate, visuals, nath"
always,366,397,"consistent, thorough, therefore"
many,364,475,"several, bookmark, sweetdish, read, hrs"
pretty,361,468,"brighter, spacious, dim, antique"
everything,358,393,"customize, viroopa, customise"
different,354,409,"quesadillas, baked, entirely, traditional"
seat,349,1308,"arrangement, comfortable, couch, indoors, decorate, cushion, hall, inviting, alfresco, sittin, corner, air, separate, comfy, private, wooden, motor, parking, decorative, entrance, arranged, pool, large, balcony, furniture, designer, unit, congest, decoration, serene, door, brick, strength, idol, inspired, plant, plush, attractive, calm, park, design, conjusted, equip, played, window, lobby, weather, mould"
piece,348,735,"eater, finish, shwarma, single, rumali, raitha, barely, medium, malabar, peices, tiny, norm, layered, linen, tastewise, pc, parotas, teeth, smelt, rupee, textured"
guy,348,784,"guys, greatly, ali, man, job, duty, success, peacefully, ashalivelovefood, luck, guyz, dinesh, thanx, estimate, azad, rocking, akshay, rock, fitness, reading, slap, ranjith, titu, jolly, suhail, sonu, ensure, varun, singh, kyn, treatment, publicity, rahul, bow, diwali, atm, effort, hopefully, instance, policy, kuldeep, possible, idle, mallesh"
wait,344,464,"lethargic, peak, patience, spite, within, sometime, heed, km, aways"
kebab,342,378,"boti, chelo, lko, shikampur, jhinga, harabara, evenly, nasheela, patthar"
know,338,995,"unusual, fool, particular, curse, sell, fuck, disconnect, siddharth, believe, sg, public, insist, cough, attach, sad, deposit, rougue, tease, exact, actual, unsatisfied, misbehave, image, stock, describe, card, confusion, brand, popularity, entire, remember, told, certain, listen, case, providing"
every,337,339,asusual
crowd,337,570,"rush, sort, volume, cramp, becoz, miracle, tire, noisy, tight, stag, stall, wd, gather, attracts, pl, chitchat, overrate, pax, energy, ticket, preferably"
team,336,698,"host, salim, embarrass, wed, cascade, attendant, mahesh, mazzo, shantanu, narendra, naresh, nitin, thay, marsalafoodcompany, hamid, member, client, overwhelmed, gopal, khan, leisure, throughout, flechazo, flight, vila, amit, pradeep, ekrabul, render"
star,335,362,"minus, calculate, bcoz, pros, flaw"
small,330,497,"enlighten, cute, tuck, comfortably, pune, ccd, cram, windows, neat, ceramic, cover"
keep,329,467,"roy, smile, asap, centric, machine, kunal, foot, fnb, entertain, unwilling, tab, warmth, hema, impeccable, hardworking"
prawn,326,350,"deojikalbi, pei, uramaki, shabir, magnificent, puo, burj"
big,322,322,None
top,322,627,"moist, smooth, eye, classic, cardamom, pine, khalifa, richness, slather, notch, stiff, greeting, salmon, enclose, mild, garlicky, exquisite, caramelize"
masala,317,425,"peanut, sambhar, pickle, idly, mashad, contain"
